ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:1902652,secondary alcohol metabolic process,20/515,145/13235,0.13793103448275862,3.544693672581185,6.1994806925633,8.34746731434513e-7,2.9610743145977e-4,2.745478005684614e-4,Cyb5r3/Srebf1/Lepr/Lbr/Insig1/Ttc39b/Dgat2/Sult2a7/Cyp39a1/Ces1c/Serpina12/3110082I17Rik/Cyp2r1/Hmgcr/Stard4/Pmvk/G6pdx/Pcsk9/Apoc3/Cyp46a1,20
GO:0008203,cholesterol metabolic process,19/515,135/13235,0.14074074074074075,3.6169003955411725,6.149276951650147,1.1484999686374763e-6,3.71191938834566e-4,3.4416539258528786e-4,Cyb5r3/Srebf1/Lepr/Lbr/Insig1/Ttc39b/Dgat2/Sult2a7/Cyp39a1/Ces1c/Serpina12/3110082I17Rik/Hmgcr/Stard4/Pmvk/G6pdx/Pcsk9/Apoc3/Cyp46a1,19
GO:0071466,cellular response to xenobiotic stimulus,21/515,162/13235,0.12962962962962962,3.3313556274721323,6.007365097891051,1.2587873859563345e-6,3.71191938834566e-4,3.4416539258528786e-4,Cyp2c29/Fbp1/Gstm6/Cyp2c67/Umps/Cyp2c70/Gstm7/Wnk4/Sult2a7/Cyp2c40/Pde4b/Cyp2r1/Ugt2b1/Gstp3/Ugt2b38/Gstp1/Cyp2u1/Cyp2j9/Cad/Cyp2c68/Cyp46a1,21
GO:0006631,fatty acid metabolic process,37/515,406/13235,0.09113300492610837,2.342029747955426,5.526299028413058,1.3318009081711748e-6,3.71191938834566e-4,3.4416539258528786e-4,Acly/Fabp5/Aacs/Acacb/Srebf1/Mid1ip1/Pdk1/Cyp2c29/Gpam/Gstm6/Acaca/Cyp2c67/Elovl6/Fasn/Acss2/Insig1/Dgat2/Cyp2c70/Gstm7/Gpat4/Lpin1/Mif/Acsl4/Ces1c/Cyp2c40/Cyp4f14/Acot11/Ces2a/Ppard/Gstp3/Mblac2/Gstp1/Cyp2u1/Cyp2j9/Bdh2/Cyp2c68/Apoc3,37
GO:0006006,glucose metabolic process,24/515,205/13235,0.11707317073170732,3.008666824532323,5.832009912113379,1.4436922385957048e-6,3.7555247433336265e-4,3.482084367756799e-4,Gpi1/Fabp5/Tff3/Acacb/Aldob/Pdk1/Ppp1r3b/Gck/Lepr/Fbp1/Got1/Sds/Dgat2/Foxk2/Pdhb/Slc37a4/Gnmt/Serpina12/Pik3r1/Pgp/Pfkm/G6pdx/Nnmt/Mup3,24
GO:0016125,sterol metabolic process,19/515,139/13235,0.1366906474820144,3.5128169309212827,5.992451676521959,1.801975034068683e-6,4.3127556539935007e-4,3.998743203964408e-4,Cyb5r3/Srebf1/Lepr/Lbr/Insig1/Ttc39b/Dgat2/Sult2a7/Cyp39a1/Ces1c/Serpina12/3110082I17Rik/Hmgcr/Stard4/Pmvk/G6pdx/Pcsk9/Apoc3/Cyp46a1,19
GO:0044282,small molecule catabolic process,32/515,330/13235,0.09696969696969697,2.4920270667843485,5.522812399573905,1.8789555642718994e-6,4.3127556539935007e-4,3.998743203964408e-4,Gpi1/Tkfc/Acacb/Aldob/Uox/Acmsd/Khk/Gls2/Gck/Slc25a44/Got1/Sds/Ppat/Hgd/Qdpr/Foxk2/Pah/Urad/Haao/Lpin1/Sult2a7/Glb1/Cyp39a1/Cbs/Sdsl/Cyp4f14/Pgd/Ppard/Pfkm/Bdh2/Gcat/Cyp46a1,32
GO:0046364,monosaccharide biosynthetic process,16/515,103/13235,0.1553398058252427,3.992082194363276,6.133838244846823,2.1473750426254083e-6,4.6550318979579684e-4,4.316098258189198e-4,Gpi1/Aldob/Gck/Lepr/Fbp1/Got1/Sds/Dgat2/Slc37a4/Gnmt/Serpina12/Pgd/Pgp/G6pdx/Nnmt/Mup3,16
GO:0009410,response to xenobiotic stimulus,34/515,369/13235,0.0921409214092141,2.3679322230115507,5.362429721370866,2.8276942209300755e-6,5.807190973720608e-4,5.384368441737768e-4,Aacs/Casp3/Acacb/Srebf1/Cyp2c29/Ass1/Cps1/Fbp1/Gstm6/Cyp2c67/Atp1a1/Umps/Cyp2c70/Gstm7/Wnk4/Sult2a7/Cpb2/Kdr/Cyp2c40/Srd5a1/Tbxa2r/Pde4b/Cyp2r1/Ugt2b1/Gstp3/Map2k6/Ugt2b38/Gstp1/Cyp2u1/Cyp2j9/Cad/Nnmt/Cyp2c68/Cyp46a1,34
GO:0009117,nucleotide metabolic process,38/515,442/13235,0.08597285067873303,2.209418793656372,5.203640339479006,3.8951049054533275e-6,7.599349670539442e-4,7.04603976844373e-4,Gpi1/Pklr/Acp3/Tkfc/Acacb/Aldob/Me1/Uox/Rpia/Khk/Atp1b1/Gck/Fbp1/Ak4/Ppat/Rrm2/Pde8a/Umps/Foxk2/Urad/Haao/Sult2a7/Gmps/Bend3/Cnp/Fuom/Uck2/Pfkfb3/Hsd11b1/ND4L/Pgd/Slc4a7/Pfkm/Cad/G6pdx/Nme6/Rd3/Ddit4,38
GO:0006066,alcohol metabolic process,30/515,311/13235,0.09646302250803858,2.4790060250366808,5.310767477781317,4.39132795427411e-6,8.159505560751227e-4,7.565410615959959e-4,Acp3/Tkfc/Cyb5r3/Srebf1/Lepr/Got1/Moxd1/Lbr/Rdh11/Insig1/Qdpr/Ttc39b/Dgat2/Sult2a7/Cyp39a1/Ces1c/P2ry1/Serpina12/3110082I17Rik/Ces2a/Cyp2r1/Hmgcr/Lrp2/Pgp/Stard4/Pmvk/G6pdx/Pcsk9/Apoc3/Cyp46a1,30
GO:1901605,alpha-amino acid metabolic process,22/515,191/13235,0.11518324607329843,2.9600975956895237,5.490281451734782,5.165876687435535e-6,9.162386742897026e-4,8.495271853931069e-4,Acmsd/Gls2/Ass1/Cps1/Got1/Pcmt1/Sds/Ppat/Hgd/Dct/Ero1b/Qdpr/Pah/Haao/Gmps/Cbs/Sdsl/Gnmt/Asl/Nox4/Cad/Gcat,22
GO:0170033,L-amino acid metabolic process,20/515,165/13235,0.12121212121212122,3.1150338334804353,5.50081603976943,6.386792921450876e-6,0.0010835333034565791,0.0010046410650355452,Gls2/Ass1/Cps1/Got1/Pcmt1/Sds/Ppat/Hgd/Dct/Ero1b/Qdpr/Pah/Haao/Gmps/Cbs/Sdsl/Gnmt/Asl/Cad/Gcat,20
GO:0051156,glucose 6-phosphate metabolic process,8/515,28/13235,0.2857142857142857,7.34257975034674,6.760027885427603,7.769338019776057e-6,0.0012631648730485907,0.0011711936304372942,Gpi1/Acacb/Aldob/Rpia/Gck/Hsd11b1/Pgd/G6pdx,8
