ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:0022405,hair cycle process,87,-0.40117214458310907,-1.75054523203207,8.49083317551902e-4,0.02544506752185502,0.022084719561121985,2230,"tags=33%, list=16%, signal=28%",11789/18590/17128/16825/192119/13039/20423/56407/71609/13649/14183/107515/16206/20662/70300/14313/12387/27419/19015/234130/227377/14042/433864/16323/28114/433759/11651/12614/76560
GO:0071706,tumor necrosis factor superfamily cytokine production,176,0.3617954346700429,1.6081032695943782,8.533041422884686e-4,0.02544506752185502,0.022084719561121985,2778,"tags=35%, list=20%, signal=28%",12491/12683/53791/93695/16007/229521/20296/23960/19204/22418/246728/13844/83433/56632/56644/13051/100689/15507/11501/246727/21825/246730/21897/20303/19261/12772/24088/16800/20312/21929/15183/14727/332579/74131/13110/71268/16956/20963/11600/73914/15170/14728/12475/20302/12523/15510/26888/60533/13058/26362/17087/20128/230738/16859/12775/21899/98365/19219/22177/56501/14131
GO:0002822,regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,177,0.3575564256885637,1.5892184197826773,8.437273872769749e-4,0.02544506752185502,0.022084719561121985,2638,"tags=31%, list=19%, signal=25%",16852/19368/379043/16453/68667/12479/13844/12520/83433/56644/105352/235587/56708/14990/52118/12772/64817/14129/21929/14727/332579/16643/74131/54721/16190/15216/58185/216799/11622/16952/14204/21926/21939/15170/14728/12010/14998/17221/15510/60533/80859/56744/12480/15223/230738/18173/243910/18762/15024/105855/22376/12775/71890/243864
GO:0016055,Wnt signaling pathway,356,-0.2682382182158448,-1.4211289762081614,8.570601880535459e-4,0.02544506752185502,0.022084719561121985,2166,"tags=24%, list=16%, signal=21%",17847/29806/330938/233328/12054/56458/14370/17128/54624/13543/16825/70790/12447/432940/13001/74996/11798/75826/24117/76425/665113/66277/114604/14797/21833/12156/20423/12389/23988/12550/74256/107746/269424/22412/53627/70425/67974/21752/80707/20668/56736/13542/13649/106042/12763/76281/21844/18605/56274/13726/14183/107515/55978/14694/70300/21415/72125/109901/19043/23802/14735/12387/68031/26385/17191/21888/68889/20969/16600/232334/360216/13194/234130/114606/14042/108079/16646/19211/66241/13205/12005/433759/100503386/20729/67457/67087/53614
GO:0050867,positive regulation of cell activation,325,0.3190722852539055,1.512866719385868,8.854806113666438e-4,0.026155389226104064,0.022701234161566428,3463,"tags=38%, list=25%, signal=29%",22361/16852/20850/16453/20296/56792/12479/22418/13844/12520/83433/16169/56632/56644/252838/11501/21825/20677/217304/242122/56708/319757/18596/20344/19261/12772/100038947/15205/18124/56193/64817/21423/17242/14727/11475/384783/74131/56048/54721/20304/16190/20586/216799/83797/13641/320832/16952/20963/14204/21926/21939/14252/20851/14728/14999/12010/14998/11629/17221/14969/108723/15510/60533/12501/16186/74734/12043/18591/320484/26362/80859/12575/12480/58194/243910/13655/12394/18106/14219/18762/16331/105855/381484/16859/12775/21899/20375/71890/668101/14960/19090/12509/22177/20587/17974/16197/192176/63953/16149/22324/78317/16478/19264/50723/12144/11776/12522/333883/22329/18214/15944/16534/14961/77777/14726/74411/57257/12042/14991/19294/18534/18019/12229
GO:0050657,nucleic acid transport,132,-0.3427918118097037,-1.6124743351241801,9.336825416971502e-4,0.02730200356852119,0.02369642335394301,3388,"tags=34%, list=24%, signal=26%",110809/13680/231042/70579/72322/66231/192170/218210/13684/56488/268420/16549/19386/20926/214597/73666/235626/229279/19069/14359/72416/75826/223527/170762/234069/13211/20492/16211/72124/20383/21681/109095/170676/66874/226747/18141/67952/73473/22608/107939/234733/28114/69823/279706/73192
GO:0050658,RNA transport,132,-0.3427918118097037,-1.6124743351241801,9.336825416971502e-4,0.02730200356852119,0.02369642335394301,3388,"tags=34%, list=24%, signal=26%",110809/13680/231042/70579/72322/66231/192170/218210/13684/56488/268420/16549/19386/20926/214597/73666/235626/229279/19069/14359/72416/75826/223527/170762/234069/13211/20492/16211/72124/20383/21681/109095/170676/66874/226747/18141/67952/73473/22608/107939/234733/28114/69823/279706/73192
GO:0031577,spindle checkpoint signaling,49,0.5224511218407821,1.86301333321971,9.62267598712583e-4,0.027730207798251524,0.02406807771565214,3454,"tags=55%, list=25%, signal=42%",74335/68014/268697/107995/56150/229841/66977/20877/208628/70385/76464/11799/18817/12235/75430/214444/22137/22680/20878/66442/70799/56419/105837/67052/12236/235661/52276
GO:0019915,lipid storage,100,0.40992335605532954,1.6802396387889995,9.721537018118767e-4,0.027730207798251524,0.02406807771565214,686,"tags=18%, list=5%, signal=17%",14311/232370/12491/12683/228859/11520/68680/19016/20850/15211/12623/76763/15212/12894/320951/83433/69573/17294
GO:0009166,nucleotide catabolic process,152,-0.33329685091963196,-1.614931264028172,9.682429049231514e-4,0.027730207798251524,0.02406807771565214,1191,"tags=18%, list=9%, signal=17%",18519/14433/66422/19082/15251/74747/16418/21428/18605/13806/16000/18642/319801/170768/108079/99586/12799/231903/68837/18584/14121/103988/16548/22262/230163/225913/18770/14751
